datetime	wtr_0.25	wtr_1	wtr_2	wtr_2.5	wtr_3	wtr_4	wtr_5	wtr_6	wtr_6.5
2023-11-03	NA	NA	1.29958333333333	1.05164583333333	1.31770833333333	1.1604375	1.539375	1.85958333333333	1.74980555555556
2023-11-04	NA	NA	1.38979166666667	1.14410416666667	1.420625	1.23888020833333	1.63333333333333	1.94229166666667	1.8381875
2023-11-05	NA	NA	1.46822916666667	1.21106	1.50020833333333	1.3124595959596	1.72958333333333	2.04604166666667	1.92706
2023-11-06	NA	NA	1.53020833333333	1.27639583333333	1.55041666666667	1.38073958333333	1.8025	2.11729166666667	2.00713194444444
2023-11-07	NA	NA	1.58833333333333	1.33216666666667	1.60625	1.449046875	1.87145833333333	2.19854166666667	2.08079861111111
2023-11-08	NA	NA	1.57979166666667	1.35077083333333	1.62354166666667	1.489421875	1.92104166666667	2.24833333333333	2.1269375
2023-11-09	NA	NA	1.584375	1.3549375	1.61354166666667	1.52127604166667	1.94979166666667	2.28020833333333	2.17046527777778
2023-11-10	NA	NA	1.62041666666667	1.37685416666667	1.66291666666667	1.55099479166667	1.98958333333333	2.32020833333333	2.21215277777778
2023-11-11	NA	NA	1.67958333333333	1.42775	1.71	1.596140625	2.04729166666667	2.38625	2.25873611111111
2023-11-12	NA	NA	1.75083333333333	1.49847916666667	1.77520833333333	1.65251041666667	2.12	2.45208333333333	2.31840972222222
2023-11-13	NA	NA	1.80166666666667	1.547625	1.82166666666667	1.69947916666667	2.17354166666667	2.51875	2.37319444444444
2023-11-14	NA	NA	1.85416666666667	1.60025	1.875	1.75094270833333	2.24166666666667	2.57458333333333	2.43086111111111
2023-11-15	NA	NA	1.9075	1.66489583333333	1.94416666666667	1.803265625	2.304375	2.64604166666667	2.49052083333333
2023-11-16	NA	NA	1.89145833333333	1.67377083333333	1.945	1.84174479166667	2.34041666666667	2.6925	2.53631944444444
2023-11-17	NA	NA	1.92270833333333	1.69745833333333	1.9675	1.86580729166667	2.38104166666667	2.72583333333333	2.56770138888889
2023-11-18	NA	NA	1.97395833333333	1.73122916666667	2.01729166666667	1.90505208333333	2.42479166666667	2.75895833333333	2.60550694444444
