datetime,wtr0.25,wtr1,wtr2,wtr2.5,wtr3,wtr4,wtr5,wtr6,wtr6.5
2023-10-02T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.513
2023-10-02T16:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.523
2023-10-02T16:20:00Z,NA,NA,NA,5.573,NA,NA,NA,NA,5.503
2023-10-02T16:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.513
2023-10-02T16:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.553
2023-10-02T16:50:00Z,NA,NA,NA,5.671,NA,NA,NA,NA,5.533
2023-10-02T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.533
2023-10-02T17:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.533
2023-10-02T17:20:00Z,NA,NA,NA,5.652,NA,NA,NA,NA,5.543
2023-10-02T17:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.533
2023-10-02T17:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.543
2023-10-02T17:50:00Z,NA,NA,NA,5.701,NA,NA,NA,NA,5.563
2023-10-02T18:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.543
2023-10-02T18:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.523
2023-10-02T18:20:00Z,NA,NA,NA,5.77,NA,NA,NA,NA,5.523
2023-10-02T18:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.513
2023-10-02T18:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.543
2023-10-02T18:50:00Z,NA,NA,NA,5.829,NA,NA,NA,NA,5.563
2023-10-02T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.563
2023-10-02T19:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.573
2023-10-02T19:20:00Z,NA,NA,NA,5.78,NA,NA,NA,NA,5.573
2023-10-02T19:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.642
2023-10-02T19:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.592
2023-10-02T19:50:00Z,NA,NA,NA,5.839,NA,NA,NA,NA,5.563
2023-10-02T20:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.592
2023-10-02T20:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.642
2023-10-02T20:20:00Z,NA,NA,NA,5.839,NA,NA,NA,NA,5.73
2023-10-02T20:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.72
2023-10-02T20:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.701
2023-10-02T20:50:00Z,NA,NA,NA,5.839,NA,NA,NA,NA,5.681
2023-10-02T21:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.691
2023-10-02T21:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.701
2023-10-02T21:20:00Z,NA,NA,NA,5.799,NA,NA,NA,NA,5.75
2023-10-02T21:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.77
2023-10-02T21:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.711
2023-10-02T21:50:00Z,NA,NA,NA,5.799,NA,NA,NA,NA,5.72
2023-10-02T22:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.72
2023-10-02T22:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.73
